sec,BP-M,
1326.687,624307,
1330.267,629265,
1333.901,623583,
1337.468,623583,
1341.000,623583,
1344.609,623583,
1348.326,623583,
1351.961,625485,
1355.557,624307,
1359.111,624307,
1362.697,624307,
1366.269,623583,
1369.856,623583,
1373.464,623583,
1377.128,623583,
1380.784,623583,
1384.338,625485,
1387.906,624307,
1391.471,624307,
1395.084,624307,
1398.675,623881,
1402.227,623583,
1405.794,623583,
1409.445,623583,
1413.057,623583,
1416.750,626692,
1420.345,624307,
1423.987,624307,
1427.596,624307,
1431.118,623881,
1434.789,623583,
1438.406,623583,
1442.038,623583,
1445.580,623583,
1449.184,626692,
1452.770,624565,
1456.533,624307,
1460.247,624307,
1463.802,624863,
1467.372,623583,
1471.033,623583,
1474.779,623583,
1478.390,623583,
1481.946,626692,
1485.474,624514,
1489.081,624307,
1492.618,624307,
1496.187,627300,
1499.803,623583,
1503.431,623583,
1507.000,623583,
1510.566,623583,
1514.141,623583,
1517.714,624514,
1521.308,624307,
1524.856,624307,
1528.438,629265,
1532.057,623583,
1535.628,623583,
1539.212,623583,
1542.866,623583,
1546.515,623583,
1550.056,625485,
1553.677,624307,
1557.306,624307,
1560.968,624307,
1564.748,623583,
1568.500,623583,
1572.204,623583,
1575.985,623583,
1579.733,623583,
1583.431,625485,
1587.018,624307,
1590.844,624307,
1595.236,624307,
1599.124,623881,
1603.159,623583,
1607.596,623583,
1612.186,623583,
1616.309,623583,
1620.672,626692,
1624.813,624307,
1628.907,624307,
1633.045,624307,
1637.101,624877,
1641.041,623583,
1645.104,623583,
1648.882,623583,
1652.581,623583,
1657.127,626692,
1661.170,624565,
1665.060,624307,
1668.719,624307,
1672.723,624863,
1676.420,623583,
1680.194,623583,
1683.911,623583,
1687.592,623583,
1691.357,626692,
1695.205,624514,
1698.982,624307,
1702.989,624307,
1706.785,627300,
1710.811,623583,
1715.239,623583,
1719.038,623583,
1722.784,623583,
1726.766,623583,
1730.574,625485,
1734.337,624307,
1738.141,624307,
1741.817,629265,
1745.543,623583,
1749.277,623583,
1752.956,623583,
1756.787,623583,
1760.390,623583,
1764.129,625485,
1768.441,624307,
1772.189,624307,
1775.930,624307,
1779.098,623583,
1782.460,623583,
1786.072,623583,
1789.755,623583,
1792.869,623583,
1795.879,626692,
1798.776,624307,
1801.785,624307,
1804.661,624307,
1807.613,623881,
1810.390,623583,
1813.103,623583,
1815.965,623583,
1818.719,623583,
1821.469,626692,
1824.437,624307,
1827.270,624307,
1830.032,624307,
1832.909,624877,
1835.770,623583,
1838.585,623583,
1841.392,623583,
1844.130,623583,
1846.941,626692,
1849.729,624565,
1852.482,624307,
1855.262,624307,
1858.060,624863,
1860.878,623583,
1863.697,623583,
1866.485,623583,
1869.318,623583,
1872.144,626692,
1875.467,624514,
1878.324,624307,
1881.207,624307,
1883.911,627300,
1886.615,623583,
1889.384,623583,
1892.193,623583,
1894.906,623583,
1897.610,623583,
1900.307,625485,
1903.064,624307,
