sec,TRW-S,lowerBound,
67.639,12942836,174270.1,
67.958,13029137,174333.3,
68.258,13028619,174395.5,
68.559,13128471,174457.2,
68.869,13128478,174518.5,
69.155,13227286,174579.4,
69.442,13227722,174639.8,
69.719,13326320,174699.8,
70.003,13426270,174759.6,
70.313,13415892,174819.0,
70.607,13515892,174878.1,
70.912,13516177,174936.9,
71.208,13616177,174995.0,
71.542,13616180,175052.8,
71.877,13616180,175110.4,
72.231,13716180,175167.8,
72.593,13719108,175224.9,
72.958,13719500,175281.8,
73.293,13718741,175338.3,
73.601,13718741,175394.4,
73.896,13718654,175450.1,
74.248,12726291,175505.7,
74.556,12726229,175561.0,
74.852,12726007,175615.9,
75.150,12626252,175670.2,
75.481,12626252,175724.1,
75.794,12623833,175777.6,
76.086,12623833,175830.9,
76.416,12623833,175883.7,
76.725,12626418,175936.2,
77.050,12626355,175988.5,
77.332,12625922,176040.5,
77.622,12625922,176092.3,
77.919,12825244,176143.8,
78.251,12825244,176194.8,
78.560,12825386,176245.3,
78.877,12823895,176295.5,
79.183,12823703,176345.3,
79.469,12823703,176394.7,
79.762,12828511,176443.4,
80.065,12625576,176491.6,
80.401,12625613,176539.5,
80.718,12625705,176587.2,
81.018,12625628,176634.7,
81.318,12725628,176681.8,
81.613,12725628,176728.4,
81.919,12725616,176774.7,
82.209,12725616,176820.5,
82.507,12725861,176866.0,
82.792,12726937,176911.3,
83.072,21323574,176956.2,
83.352,21423574,177001.0,
83.631,21422503,177045.7,
83.931,21422511,177090.2,
84.226,21422511,177134.4,
84.566,21422681,177178.4,
84.861,21422681,177221.9,
85.140,21422681,177265.1,
85.420,21422665,177308.1,
85.717,21422665,177350.9,
86.018,21422665,177393.6,
86.289,21622822,177435.9,
86.584,21622822,177478.0,
86.883,21629688,177519.8,
87.173,21527262,177561.0,
87.463,21525909,177601.5,
87.751,21525965,177641.9,
88.054,21522613,177682.1,
88.333,21523037,177722.1,
88.632,21723037,177762.1,
88.909,21723037,177801.9,
89.202,21722894,177841.7,
89.503,309057,177881.4,
89.803,309104,177920.9,
90.087,309104,177960.3,
90.381,309104,177999.6,
90.706,309104,178038.7,
91.018,304504,178077.7,
