sec,BP-S,
78.363,3594569,
78.607,3594667,
78.837,3594569,
79.086,3594667,
79.325,3594569,
79.571,3594667,
79.797,3594569,
80.035,3594667,
80.296,3594569,
80.530,3594569,
80.791,3594667,
81.033,3594569,
81.273,3594667,
81.505,3594569,
81.754,3594667,
81.997,3594569,
82.229,3594667,
82.479,3594569,
82.728,3594569,
82.978,3594667,
83.224,3594569,
83.471,3594667,
83.722,3594569,
83.958,3594667,
84.197,3594569,
84.442,3594667,
84.679,3594569,
84.929,3594569,
85.187,3594667,
85.445,3594569,
85.693,3594667,
85.939,3594569,
86.191,3594667,
86.433,3594569,
86.675,3594667,
86.934,3594569,
87.177,3594569,
87.429,3594667,
87.671,3594569,
87.917,3594667,
88.156,3594569,
88.393,3594667,
88.632,3594569,
88.882,3594667,
89.128,3594569,
89.388,3594569,
89.650,3594667,
89.907,3594569,
90.153,3594667,
90.399,3594569,
90.671,3594667,
90.946,3594569,
91.216,3594667,
91.485,3594569,
91.749,3594569,
91.988,3594667,
92.229,3594569,
92.474,3594667,
92.739,3594569,
92.995,3594667,
93.247,3594569,
93.500,3594667,
93.742,3594569,
94.000,3594569,
94.259,3594667,
94.559,3594569,
94.797,3594667,
95.046,3594569,
95.285,3594667,
95.524,3594569,
95.775,3594667,
96.030,3594569,
96.276,3594569,
96.519,3594667,
96.761,3594569,
97.020,3594667,
97.270,3594569,
97.522,3594667,
97.803,3594569,
98.060,3594667,
98.317,3594569,
98.586,3594569,
98.827,3594667,
99.062,3594569,
99.302,3594667,
99.557,3594569,
99.804,3594667,
100.067,3594569,
100.320,3594667,
100.567,3594569,
100.804,3594569,
101.042,3594667,
101.277,3594569,
101.513,3594667,
101.766,3594569,
102.012,3594667,
102.266,3594569,
102.521,3594667,
102.769,3594569,
103.011,3594569,
103.257,3594667,
103.505,3594569,
103.766,3594667,
104.014,3594569,
104.257,3594667,
104.511,3594569,
104.806,3594667,
105.078,3594569,
105.335,3594569,
105.585,3594667,
105.815,3594569,
106.061,3594667,
106.334,3594569,
106.601,3594667,
106.870,3594569,
107.135,3594667,
107.413,3594569,
107.686,3594569,
107.940,3594667,
108.183,3594569,
108.427,3594667,
108.673,3594569,
108.934,3594667,
109.206,3594569,
109.474,3594667,
109.751,3594569,
110.005,3594569,
110.270,3594667,
110.510,3594569,
110.752,3594667,
111.006,3594569,
111.276,3594667,
111.547,3594569,
111.834,3594667,
112.094,3594569,
112.333,3594569,
112.578,3594667,
112.870,3594569,
113.151,3594667,
113.412,3594569,
113.669,3594667,
113.973,3594569,
114.241,3594667,
114.505,3594569,
114.770,3594569,
115.044,3594667,
115.294,3594569,
115.558,3594667,
115.812,3594569,
116.071,3594667,
116.324,3594569,
116.575,3594667,
116.821,3594569,
117.071,3594569,
117.323,3594667,
117.566,3594569,
117.815,3594667,
118.052,3594569,
118.307,3594667,
118.561,3594569,
118.815,3594667,
119.077,3594569,
119.327,3594569,
119.573,3594667,
119.819,3594569,
120.061,3594667,
120.300,3594569,
120.555,3594667,
120.793,3594569,
121.044,3594667,
121.289,3594569,
121.585,3594569,
121.849,3594667,
122.117,3594569,
122.367,3594667,
122.609,3594569,
122.868,3594667,
123.112,3594569,
123.393,3594667,
123.656,3594569,
123.902,3594569,
124.180,3594667,
124.467,3594569,
124.751,3594667,
125.030,3594569,
125.295,3594667,
125.574,3594569,
125.840,3594667,
126.086,3594569,
126.342,3594569,
126.612,3594667,
