sec,TRW-S,lowerBound,
135.824,185768,145315.0,
136.326,185768,145336.1,
136.824,185650,145357.0,
137.319,185650,145377.8,
137.821,185623,145398.4,
138.327,185924,145418.9,
138.822,185924,145439.2,
139.253,185924,145459.3,
139.758,185924,145479.2,
140.250,185400,145498.7,
140.763,185400,145518.1,
141.261,185397,145537.3,
141.798,185410,145556.5,
142.345,185384,145575.5,
142.856,185908,145594.4,
143.353,185778,145613.1,
143.845,185781,145631.8,
144.351,185781,145650.3,
144.864,188399,145668.8,
145.374,188399,145687.2,
145.891,188399,145705.4,
146.395,188400,145723.5,
146.898,188400,145741.4,
147.391,188549,145759.3,
147.900,188543,145777.0,
148.405,188436,145794.7,
148.900,188152,145812.3,
149.404,188177,145829.8,
149.902,188179,145847.2,
150.394,188180,145864.5,
150.894,189932,145881.8,
151.402,192629,145898.9,
151.908,192563,145915.9,
152.411,192563,145932.9,
152.907,192563,145949.8,
153.429,192609,145966.6,
153.919,192609,145983.4,
154.407,193024,146000.0,
154.913,192861,146016.6,
155.427,197042,146033.1,
155.914,197054,146049.5,
156.411,197059,146065.8,
156.994,196976,146082.0,
157.550,196976,146098.0,
158.037,192199,146113.9,
158.549,192182,146129.7,
159.097,192155,146145.3,
159.639,192152,146160.8,
160.174,192279,146176.2,
160.701,192052,146191.6,
161.211,192052,146206.8,
161.714,192071,146221.9,
162.216,191962,146236.9,
162.720,191962,146251.8,
163.248,191962,146266.7,
163.759,191962,146281.6,
164.266,191778,146296.3,
164.795,191847,146311.0,
165.347,191848,146325.6,
165.854,191848,146340.1,
166.372,191848,146354.5,
166.875,191848,146368.8,
167.358,191914,146383.0,
167.863,191902,146397.1,
168.387,191768,146411.2,
168.897,191776,146425.1,
169.415,191776,146439.0,
169.977,191776,146452.9,
170.515,192116,146466.7,
171.022,192105,146480.3,
171.505,192023,146493.9,
172.017,192023,146507.3,
172.518,192027,146520.8,
173.008,192022,146534.0,
173.516,191989,146547.2,
174.015,191988,146560.3,
174.514,192083,146573.3,
175.007,190642,146586.2,
175.515,190642,146599.1,
176.006,187760,146611.9,
176.515,186200,146624.6,
177.038,186200,146637.2,
177.567,186782,146649.8,
178.085,186816,146662.3,
178.589,186816,146674.7,
179.100,186851,146687.1,
179.612,186851,146699.3,
180.120,186638,146711.5,
180.629,186638,146723.6,
